ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,mp_count.e-,real_count.e-,px.e-,py.e-,pz.e-,KE.e-,PE,E_total
39,8e-09,0.278596,68921,1e+08,-1.65304e-19,-1.65304e-19,-1.65304e-19,1.66023e-18,9261,1.25e+07,1.93512e-19,1.93512e-19,1.93512e-19,5.24556e-15,8.9631e-12,8.96834e-12
40,8.2e-09,0.283806,68921,1e+08,-1.69538e-19,-1.69538e-19,-1.69538e-19,1.74642e-18,9261,1.25e+07,1.98469e-19,1.98469e-19,1.98469e-19,5.51765e-15,8.96282e-12,8.96834e-12
41,8.4e-09,0.289061,68921,1e+08,-1.73772e-19,-1.73772e-19,-1.73772e-19,1.83478e-18,9261,1.25e+07,2.03424e-19,2.03424e-19,2.03424e-19,5.79659e-15,8.96255e-12,8.96834e-12
42,8.6e-09,0.29426,68921,1e+08,-1.78005e-19,-1.78005e-19,-1.78005e-19,1.92533e-18,9261,1.25e+07,2.0838e-19,2.0838e-19,2.0838e-19,6.08239e-15,8.96226e-12,8.96835e-12
43,8.8e-09,0.299474,68921,1e+08,-1.82238e-19,-1.82238e-19,-1.82238e-19,2.01805e-18,9261,1.25e+07,2.13335e-19,2.13335e-19,2.13335e-19,6.37502e-15,8.96197e-12,8.96835e-12
44,9e-09,0.304736,68921,1e+08,-1.8647e-19,-1.8647e-19,-1.8647e-19,2.11295e-18,9261,1.25e+07,2.18289e-19,2.18289e-19,2.18289e-19,6.67451e-15,8.96167e-12,8.96835e-12
45,9.2e-09,0.309949,68921,1e+08,-1.90702e-19,-1.90702e-19,-1.90702e-19,2.21002e-18,9261,1.25e+07,2.23243e-19,2.23243e-19,2.23243e-19,6.98083e-15,8.96137e-12,8.96835e-12
46,9.4e-09,0.315256,68921,1e+08,-1.94934e-19,-1.94934e-19,-1.94934e-19,2.30927e-18,9261,1.25e+07,2.28196e-19,2.28196e-19,2.28196e-19,7.29398e-15,8.96105e-12,8.96835e-12
47,9.6e-09,0.320524,68921,1e+08,-1.99165e-19,-1.99165e-19,-1.99165e-19,2.4107e-18,9261,1.25e+07,2.33149e-19,2.33149e-19,2.33149e-19,7.61398e-15,8.96073e-12,8.96835e-12
48,9.8e-09,0.325722,68921,1e+08,-2.03396e-19,-2.03396e-19,-2.03396e-19,2.5143e-18,9261,1.25e+07,2.38102e-19,2.38102e-19,2.38102e-19,7.9408e-15,8.96041e-12,8.96835e-12
49,1e-08,0.331297,68921,1e+08,-2.07627e-19,-2.07627e-19,-2.07627e-19,2.62008e-18,9261,1.25e+07,2.43054e-19,2.43054e-19,2.43054e-19,8.27445e-15,8.96008e-12,8.96835e-12
50,1.02e-08,0.3365,68921,1e+08,-2.11857e-19,-2.11857e-19,-2.11857e-19,2.72803e-18,9261,1.25e+07,2.48005e-19,2.48005e-19,2.48005e-19,8.61492e-15,8.95974e-12,8.96835e-12
